Fecha,Ciudad,Sucursal,Categoría,Producto,Precio,Stock,Q0,Variación diaria precio
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Olivia Borges Ext Virg Bot 500Ml,159.0,17.0,17.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Rico Light 900Ml,24.5,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Sao Vegetal 900 Ml,18.0,10.0,10.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Aceite Simonds Baby Oil 125 ml,49.0,12.0,12.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite de Coco Santiago 360 gr,99.0,14.0,14.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite de Oliva Kris Extra Virgen 250 ml,46.9,46.0,46.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite de Oliva Laguna Brava Extra Virgen Clasico,249.0,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite de Oliva Laguna Brava Extra Virgen Intenso,249.0,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite de Palta Botanica 500 ml,113.5,2.0,2.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceituna Cebilla Descorazonada 150 gr,22.5,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceituna Cebilla Descorazonada 80 gr,11.5,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceituna Cebilla Rellena 100 gr,13.5,13.0,13.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceituna Cebilla Verde Rellena 200 gr,31.9,14.0,14.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceituna Del Bono Verde 220 gr,24.5,24.0,24.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceituna Del Bono Verde 500 gr,39.0,2.0,2.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceituna Del Bono Verde Entera 140 gr,12.2,32.0,32.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceituna Fragata con Anchoa 350 gr,51.0,51.0,51.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceituna Gustoso Negra 340 gr,48.5,17.0,17.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceituna Verde Gustoso Entera 330 gr,23.0,13.0,13.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,"Aceto Balsamico Casalta Ahumado 400 ml
",69.0,6.0,6.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Choco Kids 1 kg,38.9,203.0,203.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Choco Kids 200 gr,9.9,56.0,56.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Choco Kids 400 gr,16.8,106.0,106.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Choco Miki 400 gr,23.0,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Choco Piter 1 kg,45.5,9.0,9.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Chocolike 2 kg,83.9,24.0,24.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Chocolike 200 gr,11.5,55.0,55.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Chocolike 400 gr,17.9,86.0,86.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Chocolike 400 gr,24.5,15.0,86.0,0.36871508379888285
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Chocolike 800 gr,42.5,8.0,8.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Chocolike Frutilla 400 gr,17.9,39.0,39.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Chocomilko 960 gr,43.5,16.0,16.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Chokolike Light 250 gr,29.0,9.0,9.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado El Ceibo Quinucoa 250 gr,25.0,7.0,7.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Instant Kriskao 1 kg,41.9,14.0,14.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Kriskao 1 kg,61.5,46.0,46.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Achocolatado Toddy 700 gr,60.0,2.0,2.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Aconcidionador Pantene Reparacion Prov 400 ml,60.5,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Acondicionador Algabo Kids Sandia 350 ml,26.8,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Acondicionador Algabo Sandia Kids 750 ml,47.5,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Bajopoo Coco Flor 750 ml,28.9,11.0,11.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Carbon 750 ml,28.9,8.0,8.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Carbon Doypack 900 ml,23.6,15.0,15.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Granada sin Sal Doypack 750 ml,23.6,19.0,19.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Largos Increible 750 ml,28.9,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Largos Increibles Doypack 750 ml,23.6,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Manzanilla 410 ml,18.5,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Manzanilla 750 ml,28.9,8.0,8.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Onda Rizo Doypack 750 ml,23.6,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Onda y Rizos 750 ml,28.9,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Palta sin Sal 750 ml,28.9,7.0,7.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Sin Sal Aceite Coco 750 ml,28.9,12.0,12.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina Sin Sal Aceite coco Doypack 750 ml,23.6,7.0,7.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Ballerina sin Sal Palta Almendra 410 ml,18.5,2.0,2.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Botox Capilar 700 gr,45.5,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Brillance 700 gr,45.5,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Carissa Anticaida 900 ml,27.4,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Carissa Chocolate 900 ml,27.4,9.0,9.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Carissa Coco 900 ml,27.4,6.0,6.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Carla Lorena Avena700 ml,63.0,2.0,2.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Carla Lorena Frutilla 350 ml,45.0,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Carla Lorena Huevo 350 ml,45.0,2.0,2.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Carla Lorena Huevo 700 ml,63.0,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Classic Aloe Vera 950 ml,29.3,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Classic Ceramidas 950 ml,24.8,11.0,11.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Classic Manzanilla 950 ml,29.3,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Classic Miel German de Trigo,29.0,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Detox Gloss 700 gr,45.5,2.0,2.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Aminexil 680 ml,98.0,13.0,13.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Caida Resistente 370 ml,62.0,15.0,15.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Color Vive 370 ml,59.0,8.0,8.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Color Vive 680 ml,94.0,36.0,36.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Dream Long Sleek 370 ml,62.0,32.0,32.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Dream Long Sleek 680 ml,98.0,30.0,30.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Glyco Crystal 370 ml,62.0,17.0,17.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Glyco Crystal 680 ml,98.0,26.0,26.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Glyco Gloss 370 ml,62.0,17.0,17.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Glyco Gloss 680 ml,98.0,19.0,19.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Hidra Hialuronico 370 ml,62.0,39.0,39.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Hidra Hialuronico 680 ml,98.0,21.0,21.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Pure Hidratacion 370 ml,62.0,10.0,10.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Reparacion 370 ml,59.0,10.0,10.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Elvive Reparacion Total 5 Cabello Dañado 680 ml,94.0,11.0,11.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Fructis Hair Food Aguacate 300 ml,75.0,11.0,11.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,Acondicionador Fructis Hair Food Cacao 300 ml,75.0,2.0,2.0,0.0
