Fecha,Ciudad,Sucursal,Categoría,Índice_Laspeyres,Precio_Promedio_Pond,Inflación_Mensual_Acum,Inflación_Diaria
2026-06-06,La Paz,Calacoto,Frutas y Verduras,100.638,36.15,0.6380000000000052,-0.00034269537361242275
2026-06-06,La Paz,Calacoto,Panadería,102.7895,46.59,2.789500000000004,1.2647366137263916e-05
2026-06-06,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-06,Santa Cruz,Roca y Coronado,Abarrotes,100.4484,22.09,0.44840000000000657,-0.00012741237413049777
2026-06-06,Santa Cruz,Roca y Coronado,Bebidas,99.9078,24.15,-0.09220000000000539,0.0
2026-06-06,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.5547,47.34,0.5546999999999969,-7.060335037767373e-05
2026-06-06,Santa Cruz,Roca y Coronado,Frutas y Verduras,98.9968,36.22,-1.0032000000000068,0.000343563439999528
2026-06-06,Santa Cruz,Roca y Coronado,Panadería,100.1565,43.81,0.1564999999999941,0.0
2026-06-07,La Paz,Calacoto,Abarrotes,101.3611,22.76,1.3610999999999933,0.000939110856555958
2026-06-07,La Paz,Calacoto,Bebidas,100.7904,34.96,0.7904000000000053,-8.035833866570918e-05
2026-06-07,La Paz,Calacoto,Lácteos y Derivados,100.6477,30.2,0.6477000000000004,0.0003767028659236171
2026-06-07,La Paz,Calacoto,Frutas y Verduras,100.6878,34.4,0.6877999999999957,0.000494842902283299
2026-06-07,La Paz,Calacoto,Panadería,102.7891,46.63,2.789100000000005,-3.891448056458913e-06
2026-06-07,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-07,Santa Cruz,Roca y Coronado,Abarrotes,100.4003,21.86,0.40030000000000143,-0.0004788528239375589
2026-06-07,Santa Cruz,Roca y Coronado,Bebidas,99.9701,23.97,-0.029899999999997817,0.0006235749360912202
2026-06-07,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.8587,47.26,0.8586999999999989,0.003023230142400024
2026-06-07,Santa Cruz,Roca y Coronado,Frutas y Verduras,99.0219,36.17,-0.9780999999999977,0.0002535435488824067
2026-06-07,Santa Cruz,Roca y Coronado,Panadería,100.1522,43.81,0.15219999999999345,-4.293281015210759e-05
2026-06-08,La Paz,Calacoto,Abarrotes,101.354,22.89,1.3539999999999992,-7.004659578468964e-05
2026-06-08,La Paz,Calacoto,Bebidas,100.8225,35.11,0.8225000000000051,0.0003184827126392342
2026-06-08,La Paz,Calacoto,Lácteos y Derivados,100.5677,29.88,0.5677000000000021,-0.0007948517452460724
2026-06-08,La Paz,Calacoto,Frutas y Verduras,100.7047,35.06,0.7047000000000025,0.00016784555825033465
2026-06-08,La Paz,Calacoto,Panadería,102.7891,46.63,2.789100000000005,0.0
2026-06-08,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-08,Santa Cruz,Roca y Coronado,Abarrotes,100.46,21.82,0.45999999999999375,0.0005946197371919926
2026-06-08,Santa Cruz,Roca y Coronado,Bebidas,99.9701,23.94,-0.029899999999997817,0.0
2026-06-08,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.8613,47.4,0.8613,2.5778638828466427e-05
2026-06-08,Santa Cruz,Roca y Coronado,Frutas y Verduras,99.0973,36.16,-0.9026999999999958,0.000761447720150743
2026-06-08,Santa Cruz,Roca y Coronado,Panadería,100.1522,43.81,0.15219999999999345,0.0
2026-06-09,La Paz,Calacoto,Abarrotes,101.3729,23.0,1.3729000000000013,0.00018647512678326983
2026-06-09,La Paz,Calacoto,Bebidas,100.7951,35.27,0.795100000000005,-0.00027176473505419185
2026-06-09,La Paz,Calacoto,Lácteos y Derivados,100.8827,30.97,0.8826999999999998,0.003132218396164843
2026-06-09,La Paz,Calacoto,Frutas y Verduras,100.6936,35.64,0.6936000000000035,-0.00011022325670995148
2026-06-09,La Paz,Calacoto,Panadería,102.7506,46.59,2.7506000000000057,-0.00037455333298952453
2026-06-09,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-09,Santa Cruz,Roca y Coronado,Abarrotes,100.3969,21.64,0.39690000000000225,-0.0006281106908221368
2026-06-09,Santa Cruz,Roca y Coronado,Bebidas,99.98,23.99,-0.01999999999999602,9.902960985330722e-05
2026-06-09,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.8611,47.34,0.8610999999999933,-1.98292110065168e-06
2026-06-09,Santa Cruz,Roca y Coronado,Frutas y Verduras,99.1235,36.09,-0.876499999999993,0.000264386618000767
2026-06-09,Santa Cruz,Roca y Coronado,Panadería,99.8973,43.63,-0.10269999999999868,-0.002545126317744284
2026-06-10,La Paz,Calacoto,Abarrotes,101.3148,22.79,1.3148000000000053,-0.0005731314779393593
2026-06-10,La Paz,Calacoto,Bebidas,100.7734,35.11,0.7733999999999952,-0.00021528824317862405
2026-06-10,La Paz,Calacoto,Lácteos y Derivados,100.8888,30.46,0.8888000000000034,6.046626428513058e-05
2026-06-10,La Paz,Calacoto,Frutas y Verduras,100.759,35.23,0.7590000000000003,0.0006494951019726525
2026-06-10,La Paz,Calacoto,Panadería,102.7536,46.49,2.753600000000006,2.9196909798967496e-05
2026-06-10,Santa Cruz,Roca y Coronado,Abarrotes,100.4086,21.56,0.40860000000000696,0.00011653746281026223
2026-06-10,Santa Cruz,Roca y Coronado,Bebidas,100.0008,24.01,0.0007999999999981355,0.00020804160832166296
2026-06-10,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.5944,47.37,0.5943999999999932,-0.0026442305308984615
2026-06-10,Santa Cruz,Roca y Coronado,Frutas y Verduras,99.1141,35.98,-0.8859000000000066,-9.483119542808005e-05
2026-06-10,Santa Cruz,Roca y Coronado,Panadería,99.8942,43.71,-0.10580000000000211,-3.1031869730302475e-05
2026-06-16,La Paz,Calacoto,Abarrotes,100.0408,22.58,0.04080000000000439,-0.012574668261695288
2026-06-16,La Paz,Calacoto,Bebidas,99.2631,35.2,-0.7369000000000057,-0.014987089847122381
2026-06-16,La Paz,Calacoto,Lácteos y Derivados,101.2042,27.81,1.2042000000000002,0.0031262142081183164
2026-06-16,La Paz,Calacoto,Frutas y Verduras,98.3637,37.95,-1.6363000000000056,-0.023772566222372227
2026-06-16,La Paz,Calacoto,Panadería,100.413,45.36,0.4129999999999967,-0.022778763955715542
2026-06-16,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-16,Santa Cruz,Roca y Coronado,Abarrotes,99.8101,23.46,-0.1898999999999944,-0.005960644805325432
2026-06-16,Santa Cruz,Roca y Coronado,Bebidas,99.1897,23.17,-0.810299999999998,-0.008110935112519035
2026-06-16,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.8527,47.29,0.8526999999999987,0.002567737369078227
2026-06-16,Santa Cruz,Roca y Coronado,Frutas y Verduras,99.232,37.49,-0.7680000000000007,0.0011895381181890041
2026-06-16,Santa Cruz,Roca y Coronado,Panadería,99.9228,43.56,-0.07720000000000482,0.0002863029084771984
2026-06-17,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-17,La Paz,Calacoto,Abarrotes,100.2546,22.97,0.2545999999999964,0.002137128051754811
2026-06-17,La Paz,Calacoto,Bebidas,99.2938,35.33,-0.7061999999999955,0.00030927907752231754
2026-06-17,La Paz,Calacoto,Lácteos y Derivados,101.3768,28.16,1.376800000000003,0.001705462816760539
2026-06-17,La Paz,Calacoto,Frutas y Verduras,98.3662,38.07,-1.6337999999999937,2.5415880045231987e-05
2026-06-17,La Paz,Calacoto,Panadería,100.414,45.29,0.4140000000000015,9.95886986743244e-06
2026-06-17,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-17,Santa Cruz,Roca y Coronado,Abarrotes,99.7969,23.38,-0.20310000000000628,-0.00013225114492432244
2026-06-17,Santa Cruz,Roca y Coronado,Bebidas,99.1623,23.15,-0.8376999999999981,-0.0002762383594264728
2026-06-17,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.6243,47.15,0.6243000000000052,-0.0022646889969232253
